Hour;Min;Sec;Bx1;By1;Bz1;Bx2;By2;Bz2
11;39;34;-14.7983957;8.756689063;-26.0400499;1.135246875;-7.102930078;22.20703262
11;39;40;-13.09556367;-19.05864297;-5.783641211;-26.83985078;-5.516968164;-0.50469834
11;39;46;-7.987067578;3.632812109;19.99724258;-1.662262891;-0.271094141;-25.54898545
11;39;52;-8.351960156;10.97973633;16.1437439;21.81249297;-5.272974023;-0.87299668
11;40;2;-8.716852734;-18.32666055;-12.29024521;-25.98843477;-0.393091211;7.106800684
11;40;8;-12.85230195;-3.321020898;18.40128311;-9.081745313;-6.004956445;-25.18068711
11;40;14;-13.94697969;28.52021445;2.687220605;21.81249297;-5.882959375;-7.134068457
11;40;20;-7.865436719;9.366674414;-26.8994127;2.10829375;1.070873633;24.04852432
11;40;26;-15.16328828;-19.42463418;-8.73002793;-27.0831125;-7.95690957;2.687220605
11;40;32;-16.98775117;3.99880332;18.64681533;-1.905524609;-10.64084512;-25.79451768
11;40;42;-4.581403516;16.19851035;-23.70749375;8.919621875;4.852782813;21.47043594
11;40;48;-22.5827707;-12.10480996;-17.20088975;-20.27178438;-16.25271035;10.9125502
11;40;54;-18.44732148;-1.613061914;17.54192031;-7.865436719;-12.10480996;-25.18068711
11;41;0;0.527092578;24.98229941;7.843397363;19.0149832;10.46464805;-10.93981797
11;41;6;-10.29805391;15.46652793;-26.28558213;8.068205859;-1.857056055;23.55745986
11;41;12;-26.35332734;-12.22680703;-11.1853502;-20.63667695;-20.64460488;3.423817285
11;41;22;-3.121833203;23.03034629;14.71829971;17.43378203;6.072753516;-18.79684922
11;41;28;-13.70371797;23.3963375;-21.62046982;15.85258086;-5.516968164;18.15575088
11;41;34;-20.87993867;-14.78874551;-18.55131699;-22.94766328;-14.4227543;12.14021133
11;41;40;-17.47427461;21.22749023;14.85469971;-16.37959688;-4.906982813;-25.18068711
11;41;46;-14.06861055;27.66623496;11.15808242;21.20433867;-6.614941797;-16.34152695
11;41;52;-17.83916719;16.32050742;-26.77664658;8.676360156;-10.27485391;22.45256484
11;42;2;-18.56895234;19.24843711;20.74747314;-23.67744844;-7.102930078;-19.41067979
11;42;8;-19.2987375;22.1763668;14.71829971;16.09584258;-12.71479531;-21.25217148
11;42;14;-13.94697969;23.64033164;-23.33919541;15.97421172;-5.638965234;19.99724258
11;42;20;-14.55513398;-15.88671914;-23.2164293;-23.67744844;-6.980933008;18.03298477
11;42;26;-22.94766328;-10.15285684;13.61340469;-16.86612031;-17.35068398;-21.86600205
11;42;32;-12.97393281;29.25219688;11.15808242;22.9071707;-5.150976953;-16.34152695
11;42;42;-19.42036836;-4.175000391;-29.47750107;-12.1225168;-12.59279824;24.53958877
11;42;48;-28.54268281;-8.810889063;7.72063125;-1.540632031;-23.4505375;-16.83259141
11;42;54;-7.500544141;22.78635215;19.38341201;16.94725859;0.826879492;-24.32132432
11;43;0;-5.067926953;28.39821738;-18.42855088;21.08270781;4.486791602;16.06872695
11;43;6;-28.05615938;-2.101050195;-24.44409043;-10.41968477;-22.47456094;17.78745254
11;43;12;-19.17710664;18.17756348;-16.77120835;-15.16328828;-18.32666055;-24.07579209
11;43;22;-10.29805391;34.25407676;-9.09832627;27.4075125;-1.613061914;6.001905664
11;43;28;-26.4749582;-0.14909707;-27.75877549;-8.351960156;-20.52260781;21.71596816
11;43;34;-20.75830781;-19.79062539;8.334461816;-27.0831125;-14.78874551;-16.21876084
11;43;40;-15.04165742;17.54047813;23.18916152;11.8387625;-8.078906641;-29.7230333
11;43;46;-22.70440156;29.49619102;-15.60493027;21.81249297;-15.642725;10.66701797
11;43;52;-20.15015352;-12.22680703;-28.12707383;-20.27178438;-13.32478066;22.45256484
11;44;2;-22.5827707;7.292724219;22.20703262;1.743401172;-16.98469277;-29.84579941
11;44;8;-22.70440156;31.93613242;-11.43088242;24.36674102;-15.88671914;6.247437891
11;44;14;-17.10938203;-3.321020898;-33.52878281;-11.27110078;-9.664868555;29.20470107
